year,month,month_name,station,lat,lon,rainfall_mm,rainy_days,max_24h_rainfall_mm,temperature_max_c,temperature_min_c,humidity_pct,source
2014,7,Jul,Guwahati IMD,26.1158,91.7086,350.6,28,79.7,33.2,27.2,94.8,IMD Guwahati Station — synthetic time series
2014,8,Aug,Guwahati IMD,26.1158,91.7086,375.5,29,75.9,27.2,24.1,91.3,IMD Guwahati Station — synthetic time series
2014,9,Sep,Guwahati IMD,26.1158,91.7086,202.9,15,37.1,30.4,26.1,83.8,IMD Guwahati Station — synthetic time series
2014,10,Oct,Guwahati IMD,26.1158,91.7086,66.6,4,12.8,26.9,22.2,79.8,IMD Guwahati Station — synthetic time series
2014,11,Nov,Guwahati IMD,26.1158,91.7086,30.1,3,14.4,23.8,15.5,74.1,IMD Guwahati Station — synthetic time series
2014,12,Dec,Guwahati IMD,26.1158,91.7086,9.8,2,20.6,24.8,9.0,67.3,IMD Guwahati Station — synthetic time series
2015,1,Jan,Guwahati IMD,26.1158,91.7086,18.5,0,4.3,20.9,8.1,75.4,IMD Guwahati Station — synthetic time series
2015,2,Feb,Guwahati IMD,26.1158,91.7086,17.7,2,15.1,24.2,13.4,68.5,IMD Guwahati Station — synthetic time series
2015,3,Mar,Guwahati IMD,26.1158,91.7086,55.4,5,10.0,28.8,15.1,69.2,IMD Guwahati Station — synthetic time series
2015,4,Apr,Guwahati IMD,26.1158,91.7086,148.5,14,46.2,34.1,22.3,72.0,IMD Guwahati Station — synthetic time series
2015,5,May,Guwahati IMD,26.1158,91.7086,58.6,6,11.0,32.8,23.3,77.1,IMD Guwahati Station — synthetic time series
2015,6,Jun,Guwahati IMD,26.1158,91.7086,277.7,21,57.1,31.9,24.8,89.2,IMD Guwahati Station — synthetic time series
2015,7,Jul,Guwahati IMD,26.1158,91.7086,355.5,31,78.7,29.4,24.8,91.0,IMD Guwahati Station — synthetic time series
2015,8,Aug,Guwahati IMD,26.1158,91.7086,173.9,13,47.9,29.2,23.7,78.7,IMD Guwahati Station — synthetic time series
2015,9,Sep,Guwahati IMD,26.1158,91.7086,185.4,14,34.6,30.1,24.2,82.6,IMD Guwahati Station — synthetic time series
2015,10,Oct,Guwahati IMD,26.1158,91.7086,88.2,6,33.6,29.4,20.6,85.2,IMD Guwahati Station — synthetic time series
2015,11,Nov,Guwahati IMD,26.1158,91.7086,15.8,2,7.9,27.6,15.0,71.4,IMD Guwahati Station — synthetic time series
2015,12,Dec,Guwahati IMD,26.1158,91.7086,7.3,0,6.8,24.0,10.4,65.9,IMD Guwahati Station — synthetic time series
2016,1,Jan,Guwahati IMD,26.1158,91.7086,14.1,2,9.3,22.9,10.7,77.7,IMD Guwahati Station — synthetic time series
2016,2,Feb,Guwahati IMD,26.1158,91.7086,14.0,1,18.5,26.0,11.9,66.4,IMD Guwahati Station — synthetic time series
2016,3,Mar,Guwahati IMD,26.1158,91.7086,34.6,4,12.1,26.3,16.9,67.1,IMD Guwahati Station — synthetic time series
2016,4,Apr,Guwahati IMD,26.1158,91.7086,120.0,11,24.9,33.6,19.8,71.5,IMD Guwahati Station — synthetic time series
2016,5,May,Guwahati IMD,26.1158,91.7086,211.6,19,58.1,29.7,22.5,89.1,IMD Guwahati Station — synthetic time series
2016,6,Jun,Guwahati IMD,26.1158,91.7086,371.8,31,74.2,30.8,24.6,82.3,IMD Guwahati Station — synthetic time series
2016,7,Jul,Guwahati IMD,26.1158,91.7086,430.4,37,91.0,29.8,24.4,90.8,IMD Guwahati Station — synthetic time series
2016,8,Aug,Guwahati IMD,26.1158,91.7086,319.8,26,65.2,32.2,23.5,86.8,IMD Guwahati Station — synthetic time series
2016,9,Sep,Guwahati IMD,26.1158,91.7086,162.2,13,38.1,26.7,24.6,88.0,IMD Guwahati Station — synthetic time series
2016,10,Oct,Guwahati IMD,26.1158,91.7086,76.9,6,18.8,30.0,22.5,86.3,IMD Guwahati Station — synthetic time series
2016,11,Nov,Guwahati IMD,26.1158,91.7086,18.8,3,5.7,26.0,15.3,67.8,IMD Guwahati Station — synthetic time series
2016,12,Dec,Guwahati IMD,26.1158,91.7086,10.8,1,5.9,24.0,10.3,71.2,IMD Guwahati Station — synthetic time series
2017,1,Jan,Guwahati IMD,26.1158,91.7086,21.3,0,20.0,24.1,13.5,69.6,IMD Guwahati Station — synthetic time series
2017,2,Feb,Guwahati IMD,26.1158,91.7086,16.1,3,13.7,21.9,13.8,63.1,IMD Guwahati Station — synthetic time series
2017,3,Mar,Guwahati IMD,26.1158,91.7086,47.5,2,24.4,24.7,15.4,64.9,IMD Guwahati Station — synthetic time series
2017,4,Apr,Guwahati IMD,26.1158,91.7086,135.4,12,24.9,32.8,19.9,68.7,IMD Guwahati Station — synthetic time series
2017,5,May,Guwahati IMD,26.1158,91.7086,254.1,23,63.4,31.2,24.1,79.6,IMD Guwahati Station — synthetic time series
2017,6,Jun,Guwahati IMD,26.1158,91.7086,320.0,27,73.0,29.3,24.2,86.6,IMD Guwahati Station — synthetic time series
2017,7,Jul,Guwahati IMD,26.1158,91.7086,514.2,43,101.9,29.6,24.4,89.8,IMD Guwahati Station — synthetic time series
2017,8,Aug,Guwahati IMD,26.1158,91.7086,356.8,31,67.9,28.3,26.2,88.1,IMD Guwahati Station — synthetic time series
2017,9,Sep,Guwahati IMD,26.1158,91.7086,235.7,17,52.8,29.7,23.8,89.2,IMD Guwahati Station — synthetic time series
2017,10,Oct,Guwahati IMD,26.1158,91.7086,104.8,10,36.8,28.6,21.5,79.5,IMD Guwahati Station — synthetic time series
2017,11,Nov,Guwahati IMD,26.1158,91.7086,19.8,0,16.1,24.6,14.6,72.8,IMD Guwahati Station — synthetic time series
2017,12,Dec,Guwahati IMD,26.1158,91.7086,7.9,2,4.5,20.4,9.0,64.6,IMD Guwahati Station — synthetic time series
2018,1,Jan,Guwahati IMD,26.1158,91.7086,11.2,2,2.8,20.2,10.3,70.8,IMD Guwahati Station — synthetic time series
2018,2,Feb,Guwahati IMD,26.1158,91.7086,28.1,2,18.1,23.2,12.1,63.9,IMD Guwahati Station — synthetic time series
2018,3,Mar,Guwahati IMD,26.1158,91.7086,44.6,5,13.8,26.7,17.3,63.8,IMD Guwahati Station — synthetic time series
2018,4,Apr,Guwahati IMD,26.1158,91.7086,146.6,12,35.5,29.9,20.7,67.8,IMD Guwahati Station — synthetic time series
2018,5,May,Guwahati IMD,26.1158,91.7086,174.6,14,43.6,33.8,22.3,83.9,IMD Guwahati Station — synthetic time series
2018,6,Jun,Guwahati IMD,26.1158,91.7086,323.3,27,60.8,28.0,22.9,91.7,IMD Guwahati Station — synthetic time series
2018,7,Jul,Guwahati IMD,26.1158,91.7086,335.2,27,69.3,31.5,25.2,91.0,IMD Guwahati Station — synthetic time series
2018,8,Aug,Guwahati IMD,26.1158,91.7086,455.8,38,87.0,29.0,25.5,87.2,IMD Guwahati Station — synthetic time series
2018,9,Sep,Guwahati IMD,26.1158,91.7086,186.2,15,37.3,31.7,26.1,98.2,IMD Guwahati Station — synthetic time series
2018,10,Oct,Guwahati IMD,26.1158,91.7086,44.8,4,8.5,29.6,22.3,80.4,IMD Guwahati Station — synthetic time series
2018,11,Nov,Guwahati IMD,26.1158,91.7086,29.3,2,6.2,25.8,14.7,79.3,IMD Guwahati Station — synthetic time series
2018,12,Dec,Guwahati IMD,26.1158,91.7086,12.1,1,12.9,20.1,10.7,66.5,IMD Guwahati Station — synthetic time series
2019,1,Jan,Guwahati IMD,26.1158,91.7086,23.4,2,11.5,20.4,8.7,75.0,IMD Guwahati Station — synthetic time series
2019,2,Feb,Guwahati IMD,26.1158,91.7086,22.2,0,11.7,25.8,10.6,69.6,IMD Guwahati Station — synthetic time series
2019,3,Mar,Guwahati IMD,26.1158,91.7086,63.8,7,13.9,26.1,17.2,64.4,IMD Guwahati Station — synthetic time series
2019,4,Apr,Guwahati IMD,26.1158,91.7086,138.2,11,40.0,30.7,21.5,74.5,IMD Guwahati Station — synthetic time series
2019,5,May,Guwahati IMD,26.1158,91.7086,212.5,16,52.5,33.0,23.5,73.4,IMD Guwahati Station — synthetic time series
2019,6,Jun,Guwahati IMD,26.1158,91.7086,446.6,36,87.0,33.6,23.5,86.4,IMD Guwahati Station — synthetic time series
2019,7,Jul,Guwahati IMD,26.1158,91.7086,535.5,44,108.3,29.9,23.6,89.8,IMD Guwahati Station — synthetic time series
2019,8,Aug,Guwahati IMD,26.1158,91.7086,210.5,18,54.2,30.1,23.8,93.4,IMD Guwahati Station — synthetic time series
2019,9,Sep,Guwahati IMD,26.1158,91.7086,292.2,22,64.5,29.7,23.8,92.8,IMD Guwahati Station — synthetic time series
2019,10,Oct,Guwahati IMD,26.1158,91.7086,119.1,8,35.9,28.7,20.4,80.8,IMD Guwahati Station — synthetic time series
2019,11,Nov,Guwahati IMD,26.1158,91.7086,19.0,2,6.4,24.5,14.9,73.1,IMD Guwahati Station — synthetic time series
2019,12,Dec,Guwahati IMD,26.1158,91.7086,11.1,0,10.8,21.8,8.9,72.0,IMD Guwahati Station — synthetic time series
2020,1,Jan,Guwahati IMD,26.1158,91.7086,19.5,3,21.9,23.7,11.4,67.3,IMD Guwahati Station — synthetic time series
2020,2,Feb,Guwahati IMD,26.1158,91.7086,22.5,0,15.3,24.3,13.4,67.9,IMD Guwahati Station — synthetic time series
2020,3,Mar,Guwahati IMD,26.1158,91.7086,30.4,3,23.7,30.6,15.4,68.1,IMD Guwahati Station — synthetic time series
2020,4,Apr,Guwahati IMD,26.1158,91.7086,137.2,11,36.9,29.6,21.3,72.8,IMD Guwahati Station — synthetic time series
2020,5,May,Guwahati IMD,26.1158,91.7086,191.7,15,49.9,32.6,22.5,72.1,IMD Guwahati Station — synthetic time series
2020,6,Jun,Guwahati IMD,26.1158,91.7086,243.1,22,62.4,31.1,24.3,84.9,IMD Guwahati Station — synthetic time series
2020,7,Jul,Guwahati IMD,26.1158,91.7086,482.9,41,104.8,31.6,24.1,92.3,IMD Guwahati Station — synthetic time series
2020,8,Aug,Guwahati IMD,26.1158,91.7086,316.3,24,62.7,29.2,24.8,85.4,IMD Guwahati Station — synthetic time series
2020,9,Sep,Guwahati IMD,26.1158,91.7086,180.4,16,36.8,30.4,24.4,84.2,IMD Guwahati Station — synthetic time series
2020,10,Oct,Guwahati IMD,26.1158,91.7086,73.4,4,25.5,28.5,20.2,80.5,IMD Guwahati Station — synthetic time series
2020,11,Nov,Guwahati IMD,26.1158,91.7086,21.3,0,4.9,24.4,13.4,77.3,IMD Guwahati Station — synthetic time series
2020,12,Dec,Guwahati IMD,26.1158,91.7086,13.5,0,21.7,23.5,10.7,69.7,IMD Guwahati Station — synthetic time series
2021,1,Jan,Guwahati IMD,26.1158,91.7086,12.7,2,11.8,19.5,11.0,81.8,IMD Guwahati Station — synthetic time series
2021,2,Feb,Guwahati IMD,26.1158,91.7086,16.9,0,16.1,25.9,12.2,74.5,IMD Guwahati Station — synthetic time series
2021,3,Mar,Guwahati IMD,26.1158,91.7086,57.2,3,18.7,27.7,17.5,57.1,IMD Guwahati Station — synthetic time series
2021,4,Apr,Guwahati IMD,26.1158,91.7086,190.2,16,38.0,32.6,21.0,61.9,IMD Guwahati Station — synthetic time series
2021,5,May,Guwahati IMD,26.1158,91.7086,226.1,18,52.1,33.4,25.7,85.1,IMD Guwahati Station — synthetic time series
2021,6,Jun,Guwahati IMD,26.1158,91.7086,284.9,25,61.8,35.4,24.5,86.6,IMD Guwahati Station — synthetic time series
2021,7,Jul,Guwahati IMD,26.1158,91.7086,304.2,23,61.4,30.0,24.8,84.3,IMD Guwahati Station — synthetic time series
2021,8,Aug,Guwahati IMD,26.1158,91.7086,307.4,25,71.2,29.8,23.2,86.2,IMD Guwahati Station — synthetic time series
2021,9,Sep,Guwahati IMD,26.1158,91.7086,268.9,23,64.9,32.6,23.5,86.8,IMD Guwahati Station — synthetic time series
2021,10,Oct,Guwahati IMD,26.1158,91.7086,83.0,5,24.5,28.2,21.1,81.8,IMD Guwahati Station — synthetic time series
2021,11,Nov,Guwahati IMD,26.1158,91.7086,19.9,1,22.7,27.1,14.4,80.1,IMD Guwahati Station — synthetic time series
2021,12,Dec,Guwahati IMD,26.1158,91.7086,13.6,0,3.7,22.2,10.8,72.3,IMD Guwahati Station — synthetic time series
2022,1,Jan,Guwahati IMD,26.1158,91.7086,13.6,1,16.3,23.0,8.2,64.7,IMD Guwahati Station — synthetic time series
2022,2,Feb,Guwahati IMD,26.1158,91.7086,17.6,0,12.7,24.8,8.5,71.3,IMD Guwahati Station — synthetic time series
2022,3,Mar,Guwahati IMD,26.1158,91.7086,40.0,4,22.3,29.7,16.7,57.9,IMD Guwahati Station — synthetic time series
2022,4,Apr,Guwahati IMD,26.1158,91.7086,133.7,13,41.5,29.7,22.1,72.1,IMD Guwahati Station — synthetic time series
2022,5,May,Guwahati IMD,26.1158,91.7086,223.4,20,42.4,32.4,24.2,70.4,IMD Guwahati Station — synthetic time series
2022,6,Jun,Guwahati IMD,26.1158,91.7086,371.2,29,73.4,32.8,23.4,87.7,IMD Guwahati Station — synthetic time series
2022,7,Jul,Guwahati IMD,26.1158,91.7086,414.8,32,92.6,31.9,24.6,90.5,IMD Guwahati Station — synthetic time series
2022,8,Aug,Guwahati IMD,26.1158,91.7086,364.3,32,66.7,31.1,22.9,90.7,IMD Guwahati Station — synthetic time series
2022,9,Sep,Guwahati IMD,26.1158,91.7086,210.8,15,52.9,28.5,23.7,86.4,IMD Guwahati Station — synthetic time series
2022,10,Oct,Guwahati IMD,26.1158,91.7086,85.4,5,34.1,29.5,23.5,85.9,IMD Guwahati Station — synthetic time series
2022,11,Nov,Guwahati IMD,26.1158,91.7086,31.3,1,20.9,26.3,16.7,73.2,IMD Guwahati Station — synthetic time series
2022,12,Dec,Guwahati IMD,26.1158,91.7086,3.1,1,9.5,24.3,11.0,68.1,IMD Guwahati Station — synthetic time series
2023,1,Jan,Guwahati IMD,26.1158,91.7086,28.2,4,7.7,23.9,10.4,70.5,IMD Guwahati Station — synthetic time series
2023,2,Feb,Guwahati IMD,26.1158,91.7086,25.0,1,19.1,23.9,12.0,68.3,IMD Guwahati Station — synthetic time series
2023,3,Mar,Guwahati IMD,26.1158,91.7086,66.5,7,20.4,28.2,15.4,67.0,IMD Guwahati Station — synthetic time series
2023,4,Apr,Guwahati IMD,26.1158,91.7086,111.7,8,38.9,32.2,20.9,68.1,IMD Guwahati Station — synthetic time series
2023,5,May,Guwahati IMD,26.1158,91.7086,251.9,18,50.2,31.5,24.5,80.2,IMD Guwahati Station — synthetic time series
2023,6,Jun,Guwahati IMD,26.1158,91.7086,220.2,16,44.5,31.7,25.2,89.2,IMD Guwahati Station — synthetic time series
2023,7,Jul,Guwahati IMD,26.1158,91.7086,225.7,16,43.4,29.4,25.9,89.9,IMD Guwahati Station — synthetic time series
2023,8,Aug,Guwahati IMD,26.1158,91.7086,397.8,35,83.6,29.0,24.5,85.9,IMD Guwahati Station — synthetic time series
2023,9,Sep,Guwahati IMD,26.1158,91.7086,210.2,19,42.3,30.8,23.9,88.3,IMD Guwahati Station — synthetic time series
2023,10,Oct,Guwahati IMD,26.1158,91.7086,133.9,10,36.6,28.0,19.7,84.1,IMD Guwahati Station — synthetic time series
2023,11,Nov,Guwahati IMD,26.1158,91.7086,39.7,4,22.9,25.4,14.5,77.8,IMD Guwahati Station — synthetic time series
2023,12,Dec,Guwahati IMD,26.1158,91.7086,11.4,2,11.5,23.2,10.6,67.3,IMD Guwahati Station — synthetic time series
